orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
arrkare,arrkare,NA,kin.,spouse,wife or husband of a person who is in the same gen...
arrkarrarenge,Arrkarrarenge,NA,n.,NA,place on Kwerrkepentye country
arrkarre,arrkarre,NA,n.,NA,barn owl
arrkaye,"arrkaye |1, arrkaye |2",NA,n.,dull,"faint, dull, faded, blurry, hard to see"
arrkaylpe,arrkaylpe,2,n.,headdress,feather for ceremonial headdress made of feathers ...
arrke,"arrke |1, arrke |2",NA,n.,bloodwood,bloodwood
arrkengeyarre,arrkengeyarre,NA,n.,NA,evil spirit that lives in a thick bunch of leaves ...
arrkentye,arrkentye,2,n.,NA,"neglected, mistreated, disliked"
arrkentyere,"Arrkentyere, arrkentyere",NA,n.,NA,place north of Taylor Crossing near Bluebush; Alek...
arrkeperante,Arrkeperante,NA,n.,NA,Nelson Bore. Place south of Alekarenge
arrkerarre,arrkerarre,2,n.,edge,"side of, next to, beside, edge"
arrkerenyarrenke,arrkerenyarrenke,3,vi.,leave family,leave your family to go and stay with other people...
arrkertarrenke,arrkertarrenke,2,vi.,NA,become full
arrkertinenke,arrkertinenke,2,vt.,NA,fill up a container with something
arrkilke,Arrkilke,NA,n.,NA,Boomerang Waterhole. A waterhole on Taylor Creek
arrkipere,arrkipere,2,n.,bloodwood tree sap,medicinal sap from the bloodwood tree
arrkit-arrkite,arrkit-arrkite,2,n.,NA,"faded, dull"
arrkite,arrkite,NA,n.,NA,yellow ochre
arrkitepentye,Arrkitepentye,NA,n.,NA,place name
arrkngert-arrkngerte,arrkngert-arrkngerte,NA,adv.,NA,lots of things blocking or obstructing
arrkngerte,arrkngerte,NA,pv.,NA,"blocked, obstructing. Goes before a verb to show t..."
arrkwe,arrkwe,NA,n.,NA,"lots, many"
arrkwele,Arrkwele,NA,n.,NA,place on Rtwerrpe country east of Coulter's Camp
arrkwenty-arrkwentye,arrkwenty-arrkwentye,NA,n.,NA,groups of three or several things
arrkwentye,arrkwentye,NA,n.,several,"several, few, three"
arrkwep-arrkwenke,arrkwep-arrkwenke,NA,vt.,NA,cut or break meat into lots of small pieces
arrkweraye,Arrkweraye,NA,n.,NA,Buggy Camp. Place east of Spring Range.
arrkwerlperlpe,arrkwerlperlpe,NA,n.,NA,bush coconut; edible gall on the bloodwood tree <e...
arrkwetyetye,arrkwetyetye,NA,n.,abandoned camp,respectful word used for a place where someone who...
arrkwinenke,arrkwinenke,NA,vt.,NA,cut meat into pieces or strips with a knife
arrkwite,Arrkwite,NA,n.,NA,soakage on Taylor Creek
arrmaly-arrmalye,arrmaly-arrmalye,4,n.,NA,"soft, moist, sloppy, doughy, mushy, wet, juicy"
arrmalye atnthenke,arrmalye atnthenke,NA,vi.,NA,flop over; fall over
arrmarrenke,arrmarrenke,NA,vi.,NA,feel full and satisfied from eating
arrmathinenke,arrmathinenke,NA,vt.,disturb someone,disturb or interrupt someone; distract or confuse ...
arrme,arrme,NA,n.,NA,"full, surfeited, full up from eating; sated"
arrngampenye,arrngampenye,NA,n.,NA,"scared, terrified"
arrngapenye,arrngapenye,NA,n.,NA,red
arrngarrnge,arrngarrnge,NA,n.,rush around,"hurriedly, impatiently, rushing around"
arrngaytenke,arrngaytenke,NA,vi.,NA,bleed
arrnge,arrnge,NA,n.,NA,blood
arrngernangkere,arrngernangkere,NA,n.,NA,"native willow, apricot tree"
arrngerne,arrngerne,2,n.,NA,smooth spiderbush
arrngerninenke,Arrngerninenke,NA,n.,NA,place on Arnerre country
arrnginenke,arrnginenke,3,vt.,NA,fill something up with something
arrpanenhe,arrpanenhe,NA,n.,every,"every, all, every single"
arrparrenke,arrparrenke,3,vi.,excited,"be happy, excited, glad to see someone"
arrpenke,arrpenke,NA,vt.,set alight,set fire to something; light something
arrpernkenke,arrpernkenke,NA,vi.,NA,"don't know about something, not sure how to do som..."
arrpwantye,arrpwantye,NA,n.,NA,centipede
arrpwayle,arrpwayle,NA,n.,NA,big male central netted dragon
arrpwenke,arrpwenke,NA,vt.,yell,"yell at someone to stop doing something, loudly re..."
arrthwarrthe,arrthwarrthe,NA,n.,NA,Australian owlet-nightjar
arrtyatnarrenke,arrtyatnarrenke,NA,vi.,men's fighting dance,do a high-stepping running movement
arrtyaytnenke,arrtyaytnenke,NA,vi.,fighting movement,talk as if you want to fight someone
arrtye,arrtye,2,n.,NA,"gravel, small stone."
arrtyel-arrtyele,arrtyel-arrtyele,NA,n.,NA,spiny-cheeked honeyeater
arrtyele arlenge apenke,arrtyele arlenge apenke,2,adv.,NA,a kind of shuffling or hopping step women do befor...
arrtyenke,"arrtyenke |1, arrtyenke |2",10,vt.,mind,"guard, mind, look after"
arrtyepeyarrtye,arrtyepeyarrtye,NA,n.,NA,"gravel, small stones, gravelly"
arrtyernentyeng-areye,arrtyernentyeng-areye,NA,n.,NA,in the moonlight
arrtyerre,Arrtyerre,NA,n.,NA,waterhole at the head of the Taylor Creek
arrtywerlenyenge,Arrtywerlenyenge,NA,n.,NA,"site of former Greenwood Station, Leslie Foster's ..."
arrwalpe,arrwalpe,2,n.,NA,native tomato
arrwekel-arrwekele,arrwekel-arrwekele,2,adv.,in_front,in front
arrwekele,arrwekele,5,n.,in front,"ahead, in front, first"
arrwekelenye,arrwekelenye,4,n.,first,first thing or person; earlier or previous one
arrwekelepenhe,arrwekelepenhe,3,n.,NA,"first, in front"
arrwelth-arrwelthe,"arrwelth-arrwelthe |1, arrwelth-arrwelthe |2",3,n.,NA,watermelon
arrweltharrenke,arrweltharrenke,2,vi.,melt,melt
arrwelthaylenke,arrwelthaylenke,2,vt.,melt something,melt something
arrwelthe,arrwelthe,NA,n.,fresh,"soft, fresh fruits. Fruits such as <em>kwenemangke..."
arrwely-arrwelye,arrwely-arrwelye,NA,n.,NA,someone who looks unwell
arrwempe,arrwempe,NA,kin.,NA,sibling of the opposite sex
arrwerinenke,"arrwerinenke |1, arrwerinenke |2",NA,vt.,blow (of wind),blow hard (of wind)
arrwetarenge,Arrwetarenge,NA,n.,NA,place name
arrwetnenge,arrwetnenge,2,n.,NA,"wild passionfruit, caper bush"
artaly-artalye,artaly-artalye,2,n.,NA,"light, thin, flimsy. Something that falls apart ea..."
artangaylperre,artangaylperre,2,n.,NA,tall
artapalye,artapalye,NA,n.,NA,ripe fruit of the native currant <em>ahakeye</em> ...
artapere,artapere,NA,n.,NA,"bundled, wrapped, folded, rolled or coiled up"
artarr-artarre,artarr-artarre,NA,n.,NA,"woolly, fluffy, soft"
artarre,"Artarre, artarre",4,n.,emu tail feathers,place north of Neutral Junction Station
artarrenke,artarrenke,2,vt.,catch,catch or kill meat for people (of dogs); hunt usin...
artelhe,artelhe,5,n.,NA,"parent, adult, grown-up"
artelhelkere,artelhelkere,NA,n.,NA,Spencer's monitor
artemperreye,artemperreye,4,kin.,NA,"man's son, daughter, niece, nephew. What a person ..."
artengamerne,artengamerne,NA,n.,NA,"people who go the long way or on the back road, as..."
artengangkere,Artengangkere,NA,n.,NA,creek soakage near Emu Bore
artenge,artenge,NA,pv.,NA,Goes before some verbs to show that the object of ...
artengele apenke,artengele apenke,NA,vi.,NA,"go the long way, take the back road"
artengele arenke,artengele arenke,NA,vt.,NA,"gang up on someone, back someone up in a fight"
artengepwite,artengepwite,NA,n.,NA,feeling of jealousy towards someone of the same se...
artenhe,artenhe,2,n.,NA,"behind, following"
artenke,artenke,3,vt.,chop,chop something with an axe; cut wood
artennge,artennge,NA,n.,dirty,"dirty, filthy"
artentengentenge,artentengentenge,2,n.,NA,welcome swallow
artenty-artentye,artenty-artentye,NA,n.,NA,cemetery
artentye,artentye,2,n.,NA,"deserted place, empty."
artentyerre,artentyerre,2,n.,full,"full to the brim, stacked up"
artenyam-artenyame,artenyam-artenyame,NA,n.,NA,someone who always stays at home and never goes to...
artenyarenye,artenyarenye,NA,n.,NA,a person who stays in camp and doesn't go out much...
artenye,artenye,2,n.,remain_behind,"remaining behind, (stay) behind"
artenyele,artenyele,NA,n.,NA,"noon, lunchtime, dinnertime, midday"
artep-arenke,artep-arenke,2,vt.,NA,look back over your shoulder
artep-artepe,artep-artepe,NA,n.,NA,top
arteparlinenke,arteparlinenke,NA,vt.,NA,hide someone behind your back
arteparneme,arteparneme,NA,n.,brother-in-law,man's ceremonial brother-in-law
artepe,artepe,4,n.,NA,back
artepe errkwer-errkwere,artepe errkwer-errkwere,NA,n.,NA,desert spadefoot toad
artepelayethe,artepelayethe,NA,n.,NA,face up
artepelpaye,artepelpaye,NA,n.,NA,fat on emu's back
artepempwere,artepempwere,NA,n.,NA,camel
arteperinte,arteperinte,NA,n.,back way,"the back way, the long way (to avoid something)"
arteperrke,arteperrke,NA,NA,NA,kidney
arteperrpente,arteperrpente,NA,n.,NA,rusty desert monitor; red goanna
artepewenyerre,artepewenyerre,NA,n.,NA,someone who does something wrong and doesn't face ...
artepimperrenge,artepimperrenge,NA,n.,NA,rump of kangaroo
artepwele,artepwele,NA,n.,sticky substance on desert raisin,sticky stuff on certain fruits such as desert rais...
arterrenthe,arterrenthe,3,n.,NA,tree frogs. Various kinds including
arterrk-arterrke,Arterrk-arterrke,NA,n.,NA,soakage near <em>Arrkentyere</em>
arterrke,arterrke,NA,n.,NA,umbrella bush
arterrpe,arterrpe,3,n.,NA,smooth
arterwenenke,arterwenenke,NA,NA,NA,quickly chop or cut something
arteterre,arteterre,NA,n.,treeless plain,treeless plain
artethetherre rntwenke,artethetherre rntwenke,NA,vt.,NA,"cut something into shreds, rip into something"
artety-artetye,artety-artetye,NA,n.,NA,"mulga country, mulga scrub"
artetyakake,Artetyakake,NA,n.,NA,soakage on Taylor Creek
artetyakarrenenke,Artetyakarrenenke,NA,n.,NA,soakage east of <em>Artarre</em>
artetyarenye,artetyarenye,NA,n.,NA,mulga apple
artetye,artetye,2,n.,NA,types of mulga
artetye etntete,Artetye etntete,NA,n.,NA,place north-east of Tara community
artetye-ngkwarle,artetye-ngkwarle,NA,n.,NA,sweet gum on mulga trees
artetyentyere,artetyentyere,2,n.,NA,mulga floodout country
artetyerretyerre,"artetyerretyerre |2, artetyerretyerre |1",NA,n.,NA,place where women and children camp at initiation ...
artewapinenke,artewapinenke,3,vt.,NA,"crowd someone in, gather around someone"
artewentye,artewentye,3,n.,forceful,loud speech or voice
arteyern-alpenke,arteyern-alpenke,NA,NA,NA,come this way chopping things or cutting things as...
artiwakenhe,Artiwakenhe,NA,n.,NA,a rockhole south-west of Hatches Creek
artiwe,artiwe,NA,n.,NA,mulgara (?)
artnangkarenge,Artnangkarenge,NA,n.,NA,Mt. Nelson. Place west of Barrow Creek.
artnangke,artnangke,NA,n.,NA,bilby.
artnanke,artnanke,NA,n.,NA,"things, belongings"
artnankewenke,artnankewenke,NA,vt.,NA,gather things up
artnarenye,artnarenye,2,n.,NA,type of spirit found in thick scrub
artnatyerr-artnatyerre,artnatyerr-artnatyerre,NA,n.,NA,ground which is full of gutters or has been eroded...
artnatyerre,artnatyerre,2,n.,gully,"gutter, gully, small watercourse that runs into a ..."
artne,artne,NA,n.,scrub,"thick scrub, bush"
artnekwene,artnekwene,NA,n.,thick scrub,"thick, dense bush; impenetrable scrub"
artnkatye,artnkatye,NA,n.,brave,"brave, courageous, confident"
artnke,"artnke, Artnke",NA,n.,cliff,"cliff, steep mountain face; mesa"
artnkelye,artnkelye,2,n.,sulky,"sulky, quietly angry, annoyed"
artnkenke,artnkenke,NA,vi.,NA,"metamorphise, leave in another form"
artnkwe,artnkwe,2,n.,dirt,"dirt, gravel, grain of sand."
artnkwerreye,artnkwerreye,NA,n.,enthusiastic,someone who is willing to help and do things; enth...
artnmane,artnmane,2,n.,NA,worker honeyant (black and yellow ants outside the...
artnmenye,artnmenye,NA,NA,NA,ashes for mixing with tobacco
artnnge,artnnge,2,n.,doughy,"moist, sloppy, doughy, mushy, wet, juicy"
artnpenke,artnpenke,5,vi.,NA,run
artntalharre,artntalharre,NA,n.,long beard,long beard
artntapenye,artntapenye,NA,n.,NA,"stubborn, take no notice, someone who won't change..."
artntarltere,Artntarltere,NA,n.,NA,White Top. Hill near Barrow Creek
artntarrenke,artntarrenke,3,vi.,NA,"solidify, get hard"
artnte,"artnte |1, artnte |2",4,n.,NA,"mountain, hill"
artnterrke,artnterrke,3,n.,stone,"small rock, stone"
artnterrpwerle,Artnterrpwerle,NA,n.,NA,place near Barrow Creek
artntimpentye,artntimpentye,NA,n.,NA,stony or rocky place
artntwel-artntwel-arrenke,artntwel-artntwel-arrenke,NA,NA,NA,"go around talking to lots of people, such as when ..."
artntwel-aytenke,artntwel-aytenke,NA,NA,NA,pass on a message.
artntwelp-artntwenke,artntwelp-artntwenke,NA,NA,NA,stop and pass on a message
artntwenke,artntwenke,6,vt.,tell,"tell, relate, say"
artntwerwenenke,artntwerwenenke,NA,vt.,NA,"quickly tell someone something, tell someone a bit..."
artntwey-alpenke,artntwey-alpenke,NA,vt.,NA,go back and tell someone
artntwey-aytenke,artntwey-aytenke,NA,vt.,NA,speak to someone who has arrived.
artntwey-enenke,artntwey-enenke,NA,vt.,NA,go and tell someone something
artnwengareye,artnwengareye,NA,n.,NA,initiation time
artnwenge,artnwenge,6,n.,NA,child
artnwengeng-artnwenge,artnwengeng-artnwenge,NA,n.,NA,"doll, pretend baby that girls play with"
artnwep-artnwepe,artnwep-artnwepe,NA,n.,NA,"country with many little waterholes, swamp country..."
artnwepe,artnwepe,NA,n.,NA,"claypan, swamp, billabong, lake, soakage in hard g..."
artnwere,artnwere,NA,n.,NA,"dingo, wild dog"
artnwerrenke,artnwerrenke,NA,vt.,NA,"cause trouble, make things difficult for someone, ..."
artnweyenenke,artnweyenenke,NA,vi.,paining,"be hurt, sore or in pain, stinging, aching"
artwaleye,artwaleye,5,kin.,woman's child,child (of a woman); what a woman calls her son or ...
artwante,artwante,2,n.,NA,"dust that comes before rain, haze. This often come..."
artwerinenke,artwerinenke,NA,vt.,NA,"warn, stop someone from doing something; hold some..."
artwerrtye,artwerrtye,3,n.,NA,dry
artwete,artwete,NA,n.,TERM,vagina
artweyatherre elperlatnenge,Artweyatherre Elperlatnenge,NA,n.,NA,soakage on Taylor Creek
artweye,artweye,7,n.,kurdaitcha,man
artweye amperlanenge,Artweye Amperlanenge,NA,n.,NA,place on Rtwerrpe country south of Coulter's Camp
artweye arenge,artweye arenge,NA,n.,NA,belonging to Aboriginal people (as opposed to Euro...
artweye elperlaytnenge,Artweye Elperlaytnenge,2,n.,NA,soakage near Neutral Junction homestead on Rtwerrp...
artwilaylenke,artwilaylenke,NA,vt.,NA,"hook or attach something onto something else, as i..."
artwintelarenge,Artwintelarenge,NA,n.,NA,place on Ileyarne country
artwintele,artwintele,NA,n.,NA,desert spadefoot toad
arwekerte,arwekerte,NA,n.,NA,young man in bush camp; young man who is in the bu...
arweketyarrenke,arweketyarrenke,NA,vi.,NA,whisper
arwekitatnenge,Arwekitatnenge,NA,n.,NA,hill east of Bean Tree Waterhole <em>Thewatne</em>...
arwel-arwele,arwel-arwele,NA,n.,NA,ringed brown snake
arwele,arwele,4,n.,NA,"tree, bush, shrub, plant"
arwelpaye,arwelpaye,NA,n.,NA,wet time after rain
arwelthe,arwelthe,NA,n.,jealousy,"jealous, especially towards someone of the same se..."
arwenganenye,Arwenganenye,2,n.,NA,creek soakage on Arnerre country
arwengerrp-arwengerrpe,arwengerrp-arwengerrpe,NA,n.,NA,type of plant
arwengerrpatnewene,Arwengerrpatnewene,NA,n.,NA,place on Arnerre country
arwengerrpe,arwengerrpe,NA,n.,NA,bush turkey
arwengey-arwengeye,arwengey-arwengeye,NA,n.,NA,"careless, thoughtless"
arwenth-arwenthe,arwenth-arwenthe,NA,n.,NA,"lots of things; things all over the place, everywh..."
arwentyeye,arwentyeye,NA,n.,NA,emu neck
arwerre,arwerre,NA,n.,NA,goanna's hole
arwerrp-arwerrpe,arwerrp-arwerrpe,NA,n.,NA,deep voice
arwerrpe,arwerrpe,NA,n.,NA,deep (of voice)
arwetnpenge,Arwetnpenge,NA,n.,NA,"morning star, daylight star, Venus."
atake,atake,2,pr.,NA,they (more than two) where the members are of the ...
atakenke,atakenke,NA,vt.,NA,"pull something down, dismantle something, make som..."
atakerre ertwep-anteyane,Atakerre ertwep-anteyane,NA,n.,NA,place north of Barrow Creek and west of Arelpareng...
atangke,atangke,2,pr.,3plSMSG.NOM,they (more than two) where the members are in the ...
atangke anenke,atangke anenke,NA,vi.,NA,"crouch, squat"
atangke angkwere,atangke angkwere,NA,n.,NA,"what a woman calls a group of brothers, one of who..."
atanm-atanme,atanm-atanme,NA,n.,NA,"half-light, dusk, twilight, early morning"
atanthe,atanthe,5,pr.,3plOM_NOM,they (more than two). Used where the members are i...
atanthe angkwere,atanthe angkwere,NA,n.,NA,what a woman calls her son-in-law
atarenye,atarenye,NA,n.,NA,"heavy-soil handflower, tobacco handflower"
atayele,atayele,NA,n.,loud,loud speech or voice
ateke,ateke,NA,n.,NA,"fontanelle, top part of the skull"
atelp-atenke,atelp-atenke,5,vt.,straighten something,"tread on something, run over something"
atenke,atenke,8,vt.,press,"press, put weight on, put pressure on something, p..."
ater-atere,ater-atere,NA,n.,NA,really scared or frightened; terrified
ateralthe,ateralthe,NA,n.,NA,"wild, easily frightened, scared, timid, cowardly"
atere,atere,2,n.,afraid,"frightened, afraid, scared"
aterelerreye,aterelerreye,NA,n.,NA,"scary, frightening, terrifying"
ateretnyenke,ateretnyenke,NA,vt.,NA,scare or frighten someone or something
aterrarenge,Aterrarenge,NA,n.,NA,place on Arnerre country
aterre,aterre,NA,n.,NA,"cicada, probably golden drummer"
atetherr-atetherre,atetherr-atetherre,NA,n.,NA,"type of prickle, cartwheel burr, burr bush"
atetherratnenge,Atetherratnenge,NA,n.,NA,"soakage on Taylor Creek, east of where the highway..."
atetherraynewene,atetherraynewene,NA,n.,NA,large king brown snake
atetherre,"Atetherre, atetherre",NA,n.,NA,place name
atetherrp-angkenke,atetherrp-angkenke,NA,vi.,NA,"say something which is not right or true, say some..."
atetherrparrenke,atetherrparrenke,2,vi.,slip,"slip, lose hold, drop something"
atetherrpaylenke,atetherrpaylenke,NA,vt.,bump,bump or knock someone accidentally
atewak-atewake,atewak-atewake,NA,pr.,NA,all of them
atewake,atewake,4,pr.,3plSMOG,them (more than two). This pronoun is used when a ...
atewakeyenge,atewakeyenge,2,pr.,NA,"their, theirs, belonging to them (more than two). ..."
atewangke,atewangke,4,pr.,3plSMSG.ACC,"them (more than two), where the people are in the ..."
atewangkeyenge,atewangkeyenge,2,pr.,NA,"their, theirs. Belonging to a group of people who ..."
atewanth-atewanthe,atewanth-atewanthe,NA,pr.,NA,all of them
atewanthe,atewanthe,5,pr.,NA,them (more than two). This pronoun is used when a ...
atewantheyenge,atewantheyenge,2,pr.,NA,"their, theirs. Belonging to a group of people who ..."
atewarrenke,atewarrenke,2,vt.,accompany halfway,"accompany someone halfway, lead someone half way, ..."
atewene,atewene,NA,n.,NA,heavy
atewenhake,atewenhake,5,pr.,NA,"themselves (more than two); on their own, in their..."
atewenhangke,atewenhangke,5,pr.,NA,themselves (more than two); on their own; in their...
atewenhanthe,atewenhanthe,6,pr.,NA,"themselves (more than two); on their own, in their..."
ateyarrpe,ateyarrpe,NA,NA,NA,woman's son-in-law; man's mother-in-law
ateye,ateye,3,n.,tree,"tree, bush, shrub"
atham-athame,atham-athame,NA,n.,caring,"compassion, affection; caring, loving, kind, gener..."
athamarenye,athamarenye,NA,n.,ghost-like being,ghost-like being; type of spirit that belongs to a...
athamarrenke,athamarrenke,3,vi.,NA,"feel sad, depressed or lonely. This feeling is usu..."
athamatenke,athamatenke,NA,vt.,NA,"want to be somewhere else, want to leave. Used to ..."
athame,athame,NA,n.,NA,"without light, in darkness"
athaminenke,athaminenke,NA,vt.,NA,"neglect or mistreat someone, not look after someon..."
athararrenke,athararrenke,NA,vi.,NA,disappear out of sight
atharrenke,atharrenke,3,vi.,NA,turn back
atharrthe,Atharrthe,NA,n.,NA,place west of Erretne
athathatharrenke,athathatharrenke,NA,vi.,NA,noise that babies make when they are learning to t...
athe,athe,2,n.,NA,"grass, any type of grass or other similar plants"
athelpathenke,athelpathenke,2,vt.,NA,not hear someone properly
athem-atheme,athem-atheme,NA,adv.,not properly,Goes before some verbs to show that the action is ...
atheme,atheme,NA,pv.,NA,"inaccurately, incorrectly. Goes before some verbs ..."
athenge ilpel-ilpele,athenge ilpel-ilpele,NA,n.,NA,"type of small red snake, harmless."
athenke,athenke,5,vt.,NA,general word for excreting things from the body. T...
ather-athere,ather-athere,NA,n.,NA,"fat, chubby"
athere,athere,NA,n.,NA,"flat grinding stone, mortar. Certain seeds are put..."
athernenge,athernenge,NA,n.,NA,emu egg
atherr-atherre,atherr-atherre,NA,n.,four,four; four days or nights
atherr-awenyerre,atherr-awenyerre,NA,n.,NA,three
atherram-atherrame,atherram-atherrame,NA,adv.,NA,"in pairs, two at a time, two by two"
atherraylenke,atherraylenke,NA,vt.,NA,divide something in half; make into two
atherre,atherre,4,n.,NA,two
atherrk-atherrke,atherrk-atherrke,2,n.,NA,green
atherrkampwe,atherrkampwe,2,n.,NA,green grass or plants that grow near soakages and ...
atherrke,atherrke,5,n.,NA,"grass, plants, lawn"
